기업명,예측일,공모희망가(원),공모가(원),주간사,종목코드,신규상장일,공모주일정,시초/공모(%),model_score,f_score,t_score,a_score,범주
두산로보틱스,2023.09.11,"21,000~26,000","26,000","한국투자증권,미래에셋증권,NH투자증권,KB증권,크레디트스위스증권",454910,2023/10/05,2023.09.21~09.22,%,69.11549384679111,24.36965063836718,85.73940891497212,73.51976964670659,2.0
밀리의서재,2023.09.07,"20,000~23,000","23,000",미래에셋증권,418470,2023/09/27,2023.09.18~09.19,%,47.361766,39.66497741089744,85.69369710917472,33.62930304051858,2.0
인스웨이브시스템즈,2023.09.06,"20,000~24,000","24,000",신영증권,450520,2023/09/25,2023.09.14~09.15,%,41.651343,40.49780179656044,68.1645775989493,38.28528925346802,1.0
아이엠티,2023.09.06,"10,500~12,000","14,000","유안타증권,유진투자증권",451220,2023/10/10,2023.09.18~09.19,%,71.06129112201076,40.94752827408474,30.06528868750508,42.42218857973383,2.0
한싹,2023.09.08,"8,900~11,000","12,500",케이비증권,430690,2023/10/04,2023.09.19~09.20,%,70.67077626642727,48.11858967451577,29.09516366906449,37.46643654446712,2.0
레뷰코퍼레이션,2023.09.11,"11,500~13,200","15,000",삼성증권,443250,2023/10/05,2023.09.19~09.20,%,58.44087117484639,40.97021849028321,66.07684265693588,47.62903877706939,2.0
시지트로닉스,2023.07.18,"18,000~20,000","25,000",유안타증권,429270,2023/08/03,2023.07.24~07.25,5.4%,61.33320745116188,44.49393364012868,83.92321379345304,88.0006843756715,3.0
엠아이큐브솔루션,2023.07.20,"8,500~10,000","12,000",한국투자증권,373170,2023/08/04,2023.07.26~07.27,207.5%,74.16361856788751,40.51496541425084,19.7710531081054,78.89744385109469,2.0
파두,2023.07.24,"26,000~31,000","31,000","NH투자증권,한국투자증권,한화증권,현대차증권,유진투자증권,KB증권",440110,2023/08/07,2023.07.27~07.28,-15.16%,22.86646279730346,49.07989299551412,59.54235407090842,36.98266977187999,0.0
코츠테크놀로지,2023.07.26,"10,000~11,500","13,000","한국투자증권,하이투자증권",448710,2023/08/10,2023.08.01~08.02,92.31%,75.68466649222232,44.09151208397059,90.02206487903231,86.33356657397837,2.0
큐리옥스바이오시스템즈,2023.07.27,"13,000~16,000","13,000",키움증권,445680,2023/08/10,2023.08.01~08.02,0%,21.494307,42.81316308282036,41.67706880882173,17.898831003987517,0.0
넥스틸,2023.08.02,"11,500~12,500","11,500",하나증권,92790,2023/08/21,2023.08.09~08.10,4.26%,13.4799671,25.980454059121566,95.62090617167428,18.3530268985422,0.0
스마트레이더시스템,2023.08.07,"5,800~6,800","8,000",대신증권,424960,2023/08/22,2023.08.10~08.11,101.38%,71.834814,50.57134292500978,66.0787568952605,66.83101262098832,2.0
시큐레터,2023.08.08,"9,200~10,600","12,000",대신증권,418250,2023/08/24,2023.08.14~08.16,58.33%,61.412931155590776,46.20272830012832,89.52283947668288,60.26459310237979,2.0
와이랩,2023.07.03,"7,000~8,000","9,000",한국투자증권,432430,2023/07/20,2023.07.10~07.11,140.0,84.11156358392465,63.22483432679021,94.46173516802789,94.32485681807502,3.0
파로스아이바이오,2023.07.10,"14,000~18,000","14,000",한국투자증권,388870,2023/07/27,2023.07.17~07.18,-11.93,17.02624273264692,41.52590755797592,8.776435683415626,9.557505599287383,0.0
버넥트,2023.07.10,"11,500~13,600","16,000",대신증권,438700,2023/07/26,2023.07.17~07.18,47.5,37.339541476219885,46.045983066779534,31.67911852183468,37.98718582683686,1.0
에이엘티,2023.07.11,"16,700~20,500","25,000",미래에셋증권,172670,2023/07/27,2023.07.17~07.18,26.4,38.06027148309208,37.50866165406698,34.04121315015701,43.99221361214458,1.0
프로테옴텍,2023.05.31,"5,400~6,600","4,500",키움증권,303360,2023/06/16,2023.06.07~06.08,44.44,32.82542371634572,52.3240932259684,36.56189134105854,27.99186565587156,1.0
시큐센,2023.06.14,"2,000~2,400","3,000",신한투자증권,232830,2023/06/29,2023.06.20~06.21,198.0,94.1553660315417,63.76702591989595,89.23180803771254,89.33881112227975,3.0
오픈놀,2023.06.14,"11,000~13,500","10,000",하나증권,440320,2023/06/30,2023.06.21~06.22,30.0,32.09539129137106,42.03877961563195,89.23180803771254,57.57132595432403,1.0
알멕,2023.06.14,"40,000~45,000","50,000",NH투자증권,354320,2023/06/30,2023.06.20~06.21,190.8,97.6655555489872,56.06454463272129,98.09880582869914,98.78193103671224,3.0
이노시뮬레이션,2023.06.21,"13,000~15,000","15,000",하나증권,274400,2023/07/06,2023.06.27~06.28,199.0,92.97848878109028,68.44763434726113,97.1472676259982,97.2423119626822,3.0
필에너지,2023.06.29,"26,300~30,000","34,000","미래에셋증권,삼성증권",378340,2023/07/14,2023.07.05~07.06,260.59,96.96729920343276,55.36348921104332,99.03074213538248,98.06088448191464,3.0
씨유박스,2023.05.03,"17,200~23,200","15,000","신한투자증권,SK증권,,신영증권",340810,2023/05/19,2023.05.09~05.10,4.53,1.6052720679103265,25.33956030619302,42.346983957397065,5.047202216780158,0.0
모니터랩,2023.05.03,"7,500~9,800","9,800",미래에셋증권,434480,2023/05/19,2023.05.10~05.11,100.0,64.07356764766432,64.20496163898636,42.346983957397065,65.97631024788139,2.0
나라셀라,2023.05.16,"20,000~24,000","20,000",신영증권,405920,2023/06/02,2023.05.22~05.23,-2.5,8.036593924797629,33.818447402618226,6.959440982690018,8.720488683061998,0.0
마녀공장,2023.05.22,"12,000~14,000","16,000","한국투자증권,유진투자증권",439090,2023/06/08,2023.05.25~05.26,100.0,67.77401784355088,46.57922397774843,58.95987846653201,72.61922004470654,2.0
큐라티스,2023.05.30,"6,500~8,000","4,000","대신증권,신영증권",348080,2023/06/15,2023.06.05~06.07,12.5,3.3074523523183803,25.632852576362755,5.251908354072667,4.814904942717972,0.0
마이크로투나노,2023.04.10,"13,500~15,500","15,500",한국투자증권,424980,2023/04/26,2023.04.17~04.18,62.58,67.33243382686659,55.9811782441517,64.31130075927734,65.50286025432564,2.0
토마토시스템,2023.04.10,"18,200~22,200","18,200",교보증권,393210,2023/04/27,2023.04.18~04.19,-0.55,13.834886709549686,38.83833028318322,8.124024884519347,7.531322439558472,0.0
트루엔,2023.04.27,"10,000~12,000","12,000",미래에셋증권,417790,2023/05/17,2023.05.08~05.09,61.17,65.33820057766779,60.014784241473954,62.01913558642687,61.84825250417092,2.0
엘비인베스트먼트,2023.03.13,"4,400~5,100","5,100",미래에셋증권,309960,2023/03/29,2023.03.20~03.21,27.45,50.30609559587069,51.9290750784155,34.34510006312599,36.12427401115168,1.0
지아이이노베이션,2023.03.15,"16,000~21,000","13,000","NH투자증권,하나증권,삼성증권",358570,2023/03/30,2023.03.21~03.22,45.77,26.962183796224146,49.21038107426836,31.9353864178772,23.3817782228637,1.0
제이오,2023.02.01,"10,000~13,000","13,000",한국투자증권,418550,2023/02/16,2023.02.07~02.08,53.08,28.631016857168152,36.47621312232207,40.68376335679409,28.429335520866086,1.0
